protein_id	gene_id	gene_symbol
FBpp0310466	FBgn0024314	Plap
FBpp0305784	FBgn0036661	CG9705
FBpp0075083	FBgn0036661	CG9705
FBpp0075084	FBgn0036661	CG9705
FBpp0080379	FBgn0028893	CG31819
FBpp0305959	FBgn0037792	TAF1B
FBpp0081663	FBgn0037792	TAF1B
FBpp0305958	FBgn0037792	TAF1B
FBpp0111906	FBgn0261791	SNRPG
FBpp0074151	FBgn0261791	SNRPG
FBpp0090980	FBgn0053631	CG33631
FBpp0076721	FBgn0035694	CG13299
FBpp0074462	FBgn0027603	Ulp1
FBpp0309108	FBgn0025632	CG4313
FBpp0309106	FBgn0025632	CG4313
FBpp0309107	FBgn0025632	CG4313
FBpp0074221	FBgn0030833	CG8915
FBpp0308827	FBgn0030833	CG8915
FBpp0309091	FBgn0040333	brv3
FBpp0289932	FBgn0040333	brv3
FBpp0073120	FBgn0260985	RfC4
FBpp0309315	FBgn0265413	CG44325
FBpp0308721	FBgn0265413	CG44325
FBpp0308719	FBgn0265413	CG44325
FBpp0309314	FBgn0265413	CG44325
FBpp0308720	FBgn0265413	CG44325
FBpp0084836	FBgn0051041	CG31041
FBpp0289482	FBgn0025628	CG4199
FBpp0070323	FBgn0025628	CG4199
FBpp0070322	FBgn0025628	CG4199
FBpp0291627	FBgn0025628	CG4199
FBpp0070320	FBgn0025628	CG4199
FBpp0289483	FBgn0025628	CG4199
FBpp0070321	FBgn0025628	CG4199
FBpp0428154	FBgn0036202	loaf
FBpp0304442	FBgn0036202	loaf
FBpp0112077	FBgn0036202	loaf
FBpp0305238	FBgn0036393	CG17362
FBpp0086382	FBgn0015295	Shark
FBpp0301615	FBgn0040384	CG32795
FBpp0311478	FBgn0040384	CG32795
FBpp0070469	FBgn0040384	CG32795
FBpp0089092	FBgn0040384	CG32795
FBpp0070470	FBgn0040384	CG32795
FBpp0291667	FBgn0003612	Su(var)2-10
FBpp0297644	FBgn0003612	Su(var)2-10
FBpp0310445	FBgn0003612	Su(var)2-10
FBpp0087655	FBgn0003612	Su(var)2-10
FBpp0087659	FBgn0003612	Su(var)2-10
FBpp0087656	FBgn0003612	Su(var)2-10
FBpp0087658	FBgn0003612	Su(var)2-10
FBpp0291668	FBgn0003612	Su(var)2-10
FBpp0087657	FBgn0003612	Su(var)2-10
FBpp0087653	FBgn0003612	Su(var)2-10
FBpp0087652	FBgn0003612	Su(var)2-10
FBpp0291669	FBgn0003612	Su(var)2-10
FBpp0087654	FBgn0003612	Su(var)2-10
FBpp0087651	FBgn0003612	Su(var)2-10
FBpp0308802	FBgn0020370	TppII
FBpp0086888	FBgn0020370	TppII
FBpp0310608	FBgn0020370	TppII
FBpp0086887	FBgn0020370	TppII
FBpp0072056	FBgn0034939	thoc5
FBpp0302630	FBgn0263772	CG43689
FBpp0302633	FBgn0263772	CG43689
FBpp0302631	FBgn0263772	CG43689
FBpp0302629	FBgn0263772	CG43689
FBpp0302632	FBgn0263772	CG43689
FBpp0422976	FBgn0263772	CG43689
FBpp0308738	FBgn0263772	CG43689
FBpp0291608	FBgn0053667	CG33667
FBpp0308748	FBgn0030653	CG7860
FBpp0073861	FBgn0030653	CG7860
FBpp0311608	FBgn0034758	CG13510
FBpp0301552	FBgn0034758	CG13510
FBpp0071773	FBgn0034758	CG13510
FBpp0081062	FBgn0003885	alphaTub84D
FBpp0073470	FBgn0030373	moon
FBpp0077569	FBgn0027597	CG17712
FBpp0099453	FBgn0065110	ppk10
FBpp0304003	FBgn0030009	CG15336
FBpp0091094	FBgn0053848	His3:CG33848
FBpp0271837	FBgn0032127	CG13114
FBpp0075816	FBgn0036206	twy
FBpp0074886	FBgn0011706	rpr
