protein_id	gene_id	gene_symbol
FBpp0088727	FBgn0051665	wry
FBpp0306857	FBgn0051665	wry
FBpp0300326	FBgn0037944	CG6923
FBpp0081908	FBgn0037944	CG6923
FBpp0081909	FBgn0037944	CG6923
FBpp0303202	FBgn0037944	CG6923
FBpp0078944	FBgn0031849	CG11327
FBpp0078314	FBgn0029088	disp
FBpp0081005	FBgn0026255	clumsy
FBpp0110195	FBgn0026255	clumsy
FBpp0311365	FBgn0261341	verm
FBpp0311366	FBgn0261341	verm
FBpp0291540	FBgn0261341	verm
FBpp0076108	FBgn0036014	CG3222
FBpp0087707	FBgn0027561	CG18659
FBpp0308462	FBgn0027561	CG18659
FBpp0297474	FBgn0027561	CG18659
